"idplayer","name","age","position","college","draftteam","draftposition","draftyear","born","experience"
213,"Josh Green",0,"noData","noData","noData",0,0,NULL,0
214,"Nate Hinton",0,"noData","noData","noData",0,0,NULL,0
215,"Trey Burke",0,"noData","noData","noData",0,0,NULL,0
216,"Tyler Bey",0,"noData","noData","noData",0,0,NULL,0
217,"Boban Marjanović",0,"noData","noData","noData",0,0,NULL,0
218,"Kawhi Leonard",0,"noData","noData","noData",0,0,NULL,0
219,"Paul George",0,"noData","noData","noData",0,0,NULL,0
220,"Marcus Morris",0,"noData","noData","noData",0,0,NULL,0
221,"Ivica Zubac",0,"noData","noData","noData",0,0,NULL,0
222,"Patrick Beverley",0,"noData","noData","noData",0,0,NULL,0
223,"Nicolas Batum",0,"noData","noData","noData",0,0,NULL,0
224,"Rajon Rondo",0,"noData","noData","noData",0,0,NULL,0
225,"Reggie Jackson",0,"noData","noData","noData",0,0,NULL,0
226,"Serge Ibaka",0,"noData","noData","noData",0,0,NULL,0
227,"Terance Mann",0,"noData","noData","noData",0,0,NULL,0
228,"Yogi Ferrell",0,"noData","noData","noData",0,0,NULL,0
229,"DeMarcus Cousins",0,"noData","noData","noData",0,0,NULL,0
230,"Luke Kennard",0,"noData","noData","noData",0,0,NULL,0
231,"Patrick Patterson",0,"noData","noData","noData",0,0,NULL,0
232,"Amir Coffey",0,"noData","noData","noData",0,0,NULL,0
233,"Jayson Tatum",0,"noData","noData","noData",0,0,NULL,0
234,"Marcus Smart",0,"noData","noData","noData",0,0,NULL,0
235,"Evan Fournier",0,"noData","noData","noData",0,0,NULL,0
236,"Kemba Walker",0,"noData","noData","noData",0,0,NULL,0
237,"Tristan Thompson",0,"noData","noData","noData",0,0,NULL,0
238,"Robert Williams",0,"noData","noData","noData",0,0,NULL,0
239,"Jabari Parker",0,"noData","noData","noData",0,0,NULL,0
240,"Aaron Nesmith",0,"noData","noData","noData",0,0,NULL,0
241,"Payton Pritchard",0,"noData","noData","noData",0,0,NULL,0
242,"Tremont Waters",0,"noData","noData","noData",0,0,NULL,0
243,"Grant Williams",0,"noData","noData","noData",0,0,NULL,0
244,"Semi Ojeleye",0,"noData","noData","noData",0,0,NULL,0
245,"Carsen Edwards",0,"noData","noData","noData",0,0,NULL,0
246,"Romeo Langford",0,"noData","noData","noData",0,0,NULL,0
247,"Luke Kornet",0,"noData","noData","noData",0,0,NULL,0
248,"Kevin Durant",0,"noData","noData","noData",0,0,NULL,0
249,"Kyrie Irving",0,"noData","noData","noData",0,0,NULL,0
250,"Joe Harris",0,"noData","noData","noData",0,0,NULL,0
251,"James Harden",0,"noData","noData","noData",0,0,NULL,0
252,"Blake Griffin",0,"noData","noData","noData",0,0,NULL,0
253,"Jeff Green",0,"noData","noData","noData",0,0,NULL,0
254,"Bruce Brown",0,"noData","noData","noData",0,0,NULL,0
255,"Landry Shamet",0,"noData","noData","noData",0,0,NULL,0
256,"Nic Claxton",0,"noData","noData","noData",0,0,NULL,0
257,"Reggie Perry",0,"noData","noData","noData",0,0,NULL,0
258,"Alize Johnson",0,"noData","noData","noData",0,0,NULL,0
259,"Mike James",0,"noData","noData","noData",0,0,NULL,0
260,"DeAndre Jordan",0,"noData","noData","noData",0,0,NULL,0
261,"Timothé Luwawu-Cabarrot",0,"noData","noData","noData",0,0,NULL,0
