"years","league","champion","mvp","roty","pointsleader","reboundsleader","assistsleader","winsharesleader"
"1963-64","NBA",2,"O. Robertson","J. Lucas","W. Chamberlain (2948)","B. Russell (1930)","O. Robertson (868)","W. Chamberlain (25.0)"
"1962-63","NBA",2,"B. Russell","T. Dischinger","W. Chamberlain (3586)","W. Chamberlain (1946)","G. Rodgers (825)","W. Chamberlain (20.9)"
"1961-62","NBA",2,"B. Russell","W. Bellamy","W. Chamberlain (4029)","W. Chamberlain (2052)","O. Robertson (899)","W. Chamberlain (23.1)"
"1960-61","NBA",2,"B. Russell","O. Robertson","W. Chamberlain (3033)","W. Chamberlain (2149)","O. Robertson (690)","W. Chamberlain (18.8)"
"1959-60","NBA",2,"W. Chamberlain","W. Chamberlain","W. Chamberlain (2707)","W. Chamberlain (1941)","B. Cousy (715)","W. Chamberlain (17.0)"
"1958-59","NBA",2,"B. Pettit","E. Baylor","B. Pettit (2105)","B. Russell (1612)","B. Cousy (557)","B. Pettit (14.8)"
"1957-58","NBA",0,"B. Russell","W. Sauldsberry","G. Yardley (2001)","B. Russell (1564)","B. Cousy (463)","D. Schayes (13.7)"
"1956-57","NBA",2,"B. Cousy","T. Heinsohn","P. Arizin (1817)","M. Stokes (1256)","B. Cousy (478)","N. Johnston (13.7)"
"1955-56","NBA",0,"B. Pettit","M. Stokes","B. Pettit (1849)","B. Pettit (1164)","B. Cousy (642)","N. Johnston (13.9)"
"1954-55","NBA",0,"none","B. Pettit","N. Johnston (1631)","N. Johnston (1085)","B. Cousy (557)","N. Johnston (15.4)"
"1953-54","NBA",0,"none","R. Felix","N. Johnston (1759)","H. Gallatin (1098)","B. Cousy (518)","N. Johnston (18.3)"
"1952-53","NBA",0,"none","M. Meineke","N. Johnston (1564)","G. Mikan (1007)","B. Cousy (547)","N. Johnston (15.3)"
"1951-52","NBA",0,"none","M. Hutchins, B. Tosheff","P. Arizin (1674)","L. Foust (880)","A. Phillip (539)","P. Arizin (16.0)"
"1950-51","NBA",0,"none","P. Arizin","G. Mikan (1932)","D. Schayes (1080)","A. Phillip (414)","G. Mikan (23.4)"
"1949-50","NBA",0,"none","A. Groza","G. Mikan (1865)","none","D. McGuire (386)","G. Mikan (21.1)"
"1948-49","BAA",0,"none","H. Shannon","G. Mikan (1698)","none","B. Davies (321)","G. Mikan (20.9)"
"1947-48","BAA",0,"none","P. Hoffman","M. Zaslofsky (1007)","none","H. Dallmar (120)","B. Feerick (10.5)"
"1946-47","BAA",0,"none","none","J. Fulks (1389)","none","E. Calverley (202)","B. Feerick (18.6)"
